input_size,compilation_time,execution_time,memory_usage
1,0.8664,145,41852928
2,0.8108,292,42033152
3,0.8633,444,42160128
4,0.8075,583,42364928
5,0.8311,738,42688512
6,0.8262,903,43081728
7,0.9357,1041,43544576
8,0.9197,1290,44019712
9,0.9823,1341,43995136
10,0.9425,1473,44441600
11,1.0235,1636,44896256
12,0.9284,1765,45076480
13,0.9273,1973,45666304
14,1.0337,2087,45592576
15,1.0129,2210,46215168
16,0.9669,2372,46510080
17,1.0574,2545,46915584
18,1.0452,2647,46895104
19,1.0269,2814,47517696
20,1.0387,2971,47865856
21,1.0649,3664,48504832
22,1.3542,3469,48812032
23,1.5643,3488,49229824
24,1.1309,3568,49364992
25,1.1786,3774,49541120
26,1.5452,4005,50216960
27,1.2139,3989,50528256
28,1.1758,4208,51191808
29,1.2415,4343,51441664
30,1.3232,4472,51580928
